candidate,k_fraction,inspection_count,captured_fail,total_fail,fail_capture_rate,false_inspections,precision,inspection_burden,lift,random_expected_captured
dummy_prior,0.05,20,2,24,0.0833333333333333,18,0.1,0.0510204081632653,1.6333333333333335,1.2244897959183674
dummy_prior,0.1,40,3,24,0.125,37,0.075,0.1020408163265306,1.225,2.4489795918367347
dummy_prior,0.2,79,7,24,0.2916666666666667,72,0.0886075949367088,0.2015306122448979,1.4472573839662448,4.836734693877551
l1_logistic_c_0.01,0.05,20,3,24,0.125,17,0.15,0.0510204081632653,2.45,1.2244897959183674
l1_logistic_c_0.01,0.1,40,4,24,0.1666666666666666,36,0.1,0.1020408163265306,1.6333333333333335,2.4489795918367347
l1_logistic_c_0.01,0.2,79,7,24,0.2916666666666667,72,0.0886075949367088,0.2015306122448979,1.4472573839662448,4.836734693877551
random_forest_depth_none_leaf_8,0.05,20,4,24,0.1666666666666666,16,0.2,0.0510204081632653,3.266666666666667,1.2244897959183674
random_forest_depth_none_leaf_8,0.1,40,5,24,0.2083333333333333,35,0.125,0.1020408163265306,2.0416666666666665,2.4489795918367347
random_forest_depth_none_leaf_8,0.2,79,7,24,0.2916666666666667,72,0.0886075949367088,0.2015306122448979,1.4472573839662448,4.836734693877551
