candidate,threshold_source,threshold,pr_auc_average_precision,fail_recall,precision,f1,balanced_accuracy,false_alarm_rate,accuracy,tn,fp,fn,tp
dummy,fixed_0.5,0.5,0.0036215482118605704,0.0,0.0,0.0,0.5,0.0,0.9963784517881394,2201,0,8,0
dummy,development_oof_f2,0.013147718484145398,0.0036215482118605704,1.0,0.0036215482118605704,0.007216959855660803,0.5,1.0,0.0036215482118605704,0,2201,0,8
logistic,fixed_0.5,0.5,0.003651300775901415,1.0,0.0036215482118605704,0.007216959855660803,0.5,1.0,0.0036215482118605704,0,2201,0,8
logistic,development_oof_f2,0.40583696941270153,0.003651300775901415,1.0,0.0036215482118605704,0.007216959855660803,0.5,1.0,0.0036215482118605704,0,2201,0,8
rf,fixed_0.5,0.5,0.049528132773610116,0.0,0.0,0.0,0.4995456610631531,0.0009086778736937755,0.9954730647351743,2199,2,8,0
rf,development_oof_f2,0.07013130798618143,0.049528132773610116,0.875,0.011804384485666104,0.02329450915141431,0.8043786915038619,0.26624261699227625,0.7342688999547307,1615,586,1,7
