candidate,k_fraction,inspection_count,captured_fail,total_fail,fail_capture_rate,false_inspections,precision,inspection_burden,lift,random_expected_captured
dummy,0.05,111,0,8,0.0,111,0.0,0.05024898143956542,0.0,0.40199185151652334
dummy,0.1,221,0,8,0.0,221,0.0,0.10004526935264826,0.0,0.800362154821186
dummy,0.2,442,0,8,0.0,442,0.0,0.20009053870529653,0.0,1.600724309642372
logistic,0.05,111,0,8,0.0,111,0.0,0.05024898143956542,0.0,0.40199185151652334
logistic,0.1,221,0,8,0.0,221,0.0,0.10004526935264826,0.0,0.800362154821186
logistic,0.2,442,0,8,0.0,442,0.0,0.20009053870529653,0.0,1.600724309642372
rf,0.05,111,2,8,0.25,109,0.018018018018018018,0.05024898143956542,4.975225225225225,0.40199185151652334
rf,0.1,221,2,8,0.25,219,0.00904977375565611,0.10004526935264826,2.4988687782805434,0.800362154821186
rf,0.2,442,7,8,0.875,435,0.01583710407239819,0.20009053870529653,4.3730203619909505,1.600724309642372
