candidate,validation_day,train_n,val_n,fail,ap,k_fraction,inspection_count,captured_fail,total_fail,fail_capture_rate,false_inspections,precision,inspection_burden,lift
dummy,2020-10-22,1293,600,15,0.025,0.1,60.0,1.0,15.0,0.06666666666666667,59.0,0.016666666666666666,0.1,0.6666666666666666
dummy,2020-10-23,1893,500,10,0.02,0.1,50.0,2.0,10.0,0.2,48.0,0.04,0.1,2.0
dummy,2020-10-27,2393,628,10,0.01592356687898089,0.1,63.0,0.0,10.0,0.0,63.0,0.0,0.10031847133757962,0.0
logistic,2020-10-22,1293,600,15,0.02563516062269155,0.1,60.0,1.0,15.0,0.06666666666666667,59.0,0.016666666666666666,0.1,0.6666666666666666
logistic,2020-10-23,1893,500,10,0.03853990688343463,0.1,50.0,1.0,10.0,0.1,49.0,0.02,0.1,1.0
logistic,2020-10-27,2393,628,10,0.008935190154431618,0.1,63.0,0.0,10.0,0.0,63.0,0.0,0.10031847133757962,0.0
rf,2020-10-22,1293,600,15,0.025087719298245614,0.1,60.0,1.0,15.0,0.06666666666666667,59.0,0.016666666666666666,0.1,0.6666666666666666
rf,2020-10-23,1893,500,10,0.1326435251524586,0.1,50.0,2.0,10.0,0.2,48.0,0.04,0.1,2.0
rf,2020-10-27,2393,628,10,0.2407037662661559,0.1,63.0,4.0,10.0,0.4,59.0,0.06349206349206349,0.10031847133757962,3.987301587301587
