candidate,family,pr_auc_average_precision_mean,pr_auc_average_precision_std,pr_auc_average_precision_min,pr_auc_average_precision_max,fail_recall_mean,fail_recall_std,fail_recall_min,fail_recall_max,precision_mean,precision_std,precision_min,precision_max,f1_mean,f1_std,f1_min,f1_max,balanced_accuracy_mean,balanced_accuracy_std,balanced_accuracy_min,balanced_accuracy_max,false_alarm_rate_mean,false_alarm_rate_std,false_alarm_rate_min,false_alarm_rate_max,accuracy_mean,accuracy_std,accuracy_min,accuracy_max
random_forest_depth_none_leaf_8,random_forest,0.21546979428174573,0.06502113952604384,0.13232339932373596,0.3564593137796634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.9319148936170213,0.0,0.9319148936170213,0.9319148936170213
random_forest_depth_8_leaf_4,random_forest,0.2029027977427943,0.059441316557675546,0.1289858906720635,0.3290979883835144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.9319148936170213,0.0,0.9319148936170213,0.9319148936170213
l1_logistic_c_0.01,logistic,0.17730520331403402,0.05102811161486395,0.11307044281720062,0.3046599761173967,0.73,0.08599903100229289,0.5,0.875,0.16085717490059173,0.024594145080212116,0.11,0.21818181818181817,0.2627863969985341,0.03565448987509904,0.1896551724137931,0.3380281690140845,0.7233561643835617,0.04460712297062007,0.6381278538812785,0.8050799086757991,0.2832876712328767,0.04827889964265736,0.1963470319634703,0.4063926940639269,0.7176170212765958,0.04411803584096263,0.6,0.8
l1_logistic_c_0.1,logistic,0.15932998669897475,0.04244363597718241,0.08327891630830422,0.2865982188473484,0.385,0.10777097630314637,0.1875,0.5625,0.14262688400270426,0.03441947009493075,0.07692307692307693,0.2,0.20730571990336177,0.05099142278440999,0.10909090909090909,0.2857142857142857,0.6082077625570776,0.05137268246532924,0.5115582191780822,0.69449200913242,0.16858447488584474,0.024302649374847617,0.1095890410958904,0.2146118721461187,0.8010212765957446,0.021498137383742635,0.7659574468085106,0.8425531914893617
l1_logistic_c_1,logistic,0.15749022731617054,0.053708621819820855,0.07308402419029375,0.2943093499136526,0.22,0.09901862198596788,0.0625,0.375,0.12985524469810544,0.056054275531027944,0.02631578947368421,0.23076923076923078,0.16213937991923444,0.07030443683628848,0.037037037037037035,0.2857142857142857,0.555662100456621,0.051081866068815755,0.4467751141552511,0.641837899543379,0.108675799086758,0.024483573732337,0.0593607305936073,0.1689497716894977,0.8456170212765958,0.023836118713080362,0.7787234042553192,0.8808510638297873
dummy_prior,dummy,0.06808510638297872,0.0,0.06808510638297872,0.06808510638297872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.9319148936170213,0.0,0.9319148936170213,0.9319148936170213
