candidate,family,fold,repeat,split,validation_samples,validation_fail,selected_features,removed_high_missing,removed_uninformative,removed_duplicate,threshold,pr_auc_average_precision,fail_recall,precision,f1,balanced_accuracy,false_alarm_rate,accuracy,tn,fp,fn,tp
dummy_prior,dummy,0,0,0,235,16,444,24,122,0,0.5,0.06808510638297872,0.0,0.0,0.0,0.5,0.0,0.9319148936170213,219,0,16,0
dummy_prior,dummy,1,0,1,235,16,444,24,122,0,0.5,0.06808510638297872,0.0,0.0,0.0,0.5,0.0,0.9319148936170213,219,0,16,0
dummy_prior,dummy,2,0,2,235,16,444,24,122,0,0.5,0.06808510638297872,0.0,0.0,0.0,0.5,0.0,0.9319148936170213,219,0,16,0
dummy_prior,dummy,3,0,3,235,16,444,24,122,0,0.5,0.06808510638297872,0.0,0.0,0.0,0.5,0.0,0.9319148936170213,219,0,16,0
dummy_prior,dummy,4,0,4,235,16,444,24,122,0,0.5,0.06808510638297872,0.0,0.0,0.0,0.5,0.0,0.9319148936170213,219,0,16,0
dummy_prior,dummy,5,1,0,235,16,444,24,122,0,0.5,0.06808510638297872,0.0,0.0,0.0,0.5,0.0,0.9319148936170213,219,0,16,0
dummy_prior,dummy,6,1,1,235,16,444,24,122,0,0.5,0.06808510638297872,0.0,0.0,0.0,0.5,0.0,0.9319148936170213,219,0,16,0
dummy_prior,dummy,7,1,2,235,16,444,24,122,0,0.5,0.06808510638297872,0.0,0.0,0.0,0.5,0.0,0.9319148936170213,219,0,16,0
dummy_prior,dummy,8,1,3,235,16,444,24,122,0,0.5,0.06808510638297872,0.0,0.0,0.0,0.5,0.0,0.9319148936170213,219,0,16,0
dummy_prior,dummy,9,1,4,235,16,444,24,122,0,0.5,0.06808510638297872,0.0,0.0,0.0,0.5,0.0,0.9319148936170213,219,0,16,0
dummy_prior,dummy,10,2,0,235,16,444,24,122,0,0.5,0.06808510638297872,0.0,0.0,0.0,0.5,0.0,0.9319148936170213,219,0,16,0
dummy_prior,dummy,11,2,1,235,16,444,24,122,0,0.5,0.06808510638297872,0.0,0.0,0.0,0.5,0.0,0.9319148936170213,219,0,16,0
dummy_prior,dummy,12,2,2,235,16,444,24,122,0,0.5,0.06808510638297872,0.0,0.0,0.0,0.5,0.0,0.9319148936170213,219,0,16,0
dummy_prior,dummy,13,2,3,235,16,444,24,122,0,0.5,0.06808510638297872,0.0,0.0,0.0,0.5,0.0,0.9319148936170213,219,0,16,0
dummy_prior,dummy,14,2,4,235,16,444,24,122,0,0.5,0.06808510638297872,0.0,0.0,0.0,0.5,0.0,0.9319148936170213,219,0,16,0
dummy_prior,dummy,15,3,0,235,16,444,24,122,0,0.5,0.06808510638297872,0.0,0.0,0.0,0.5,0.0,0.9319148936170213,219,0,16,0
dummy_prior,dummy,16,3,1,235,16,444,24,122,0,0.5,0.06808510638297872,0.0,0.0,0.0,0.5,0.0,0.9319148936170213,219,0,16,0
dummy_prior,dummy,17,3,2,235,16,444,24,122,0,0.5,0.06808510638297872,0.0,0.0,0.0,0.5,0.0,0.9319148936170213,219,0,16,0
dummy_prior,dummy,18,3,3,235,16,444,24,122,0,0.5,0.06808510638297872,0.0,0.0,0.0,0.5,0.0,0.9319148936170213,219,0,16,0
dummy_prior,dummy,19,3,4,235,16,444,24,122,0,0.5,0.06808510638297872,0.0,0.0,0.0,0.5,0.0,0.9319148936170213,219,0,16,0
dummy_prior,dummy,20,4,0,235,16,444,24,122,0,0.5,0.06808510638297872,0.0,0.0,0.0,0.5,0.0,0.9319148936170213,219,0,16,0
dummy_prior,dummy,21,4,1,235,16,444,24,122,0,0.5,0.06808510638297872,0.0,0.0,0.0,0.5,0.0,0.9319148936170213,219,0,16,0
dummy_prior,dummy,22,4,2,235,16,444,24,122,0,0.5,0.06808510638297872,0.0,0.0,0.0,0.5,0.0,0.9319148936170213,219,0,16,0
dummy_prior,dummy,23,4,3,235,16,444,24,122,0,0.5,0.06808510638297872,0.0,0.0,0.0,0.5,0.0,0.9319148936170213,219,0,16,0
dummy_prior,dummy,24,4,4,235,16,444,24,122,0,0.5,0.06808510638297872,0.0,0.0,0.0,0.5,0.0,0.9319148936170213,219,0,16,0
l1_logistic_c_0.01,logistic,0,0,0,235,16,444,24,122,0,0.5,0.2994016589759257,0.75,0.21818181818181817,0.3380281690140845,0.7768264840182648,0.1963470319634703,0.8,176,43,4,12
l1_logistic_c_0.01,logistic,1,0,1,235,16,444,24,122,0,0.5,0.15984853893905124,0.75,0.16666666666666666,0.2727272727272727,0.738013698630137,0.273972602739726,0.7276595744680852,159,60,4,12
l1_logistic_c_0.01,logistic,2,0,2,235,16,444,24,122,0,0.5,0.15970946926502017,0.625,0.11627906976744186,0.19607843137254902,0.6389840182648402,0.3470319634703196,0.6510638297872341,143,76,6,10
l1_logistic_c_0.01,logistic,3,0,3,235,16,444,24,122,0,0.5,0.16118401121626913,0.6875,0.19642857142857142,0.3055555555555556,0.7410102739726028,0.2054794520547945,0.7872340425531915,174,45,5,11
l1_logistic_c_0.01,logistic,4,0,4,235,16,444,24,122,0,0.5,0.13365682268756174,0.8125,0.16049382716049382,0.26804123711340205,0.7509988584474886,0.3105022831050228,0.6978723404255319,151,68,3,13
l1_logistic_c_0.01,logistic,5,1,0,235,16,444,24,122,0,0.5,0.22934292246591942,0.8125,0.16883116883116883,0.27956989247311825,0.7601312785388128,0.2922374429223744,0.7148936170212766,155,64,3,13
l1_logistic_c_0.01,logistic,6,1,1,235,16,444,24,122,0,0.5,0.16557165312101962,0.6875,0.18032786885245902,0.2857142857142857,0.7295947488584476,0.228310502283105,0.7659574468085106,169,50,5,11
l1_logistic_c_0.01,logistic,7,1,2,235,16,444,24,122,0,0.5,0.1956665828859664,0.8125,0.19696969696969696,0.3170731707317073,0.7852454337899544,0.2420091324200913,0.7617021276595745,166,53,3,13
l1_logistic_c_0.01,logistic,8,1,3,235,16,444,24,122,0,0.5,0.15786668914201554,0.75,0.14634146341463414,0.24489795918367346,0.7151826484018264,0.319634703196347,0.6851063829787234,149,70,4,12
l1_logistic_c_0.01,logistic,9,1,4,235,16,444,24,122,0,0.5,0.11307044281720062,0.6875,0.14473684210526316,0.2391304347826087,0.6953481735159817,0.2968036529680365,0.7021276595744681,154,65,5,11
