feature,importance,signed_value
feature_059,0.04040116818655196,
feature_247,0.014537188065675869,
feature_519,0.01100124921546678,
feature_065,0.01004629408031088,
feature_475,0.009211501444081558,
feature_079,0.008555129506512556,
feature_130,0.008403524854528104,
feature_125,0.008063056675568909,
feature_341,0.007832537400073362,
feature_129,0.007537946442805759,
feature_014,0.007254400599897097,
feature_468,0.007243877293059507,
feature_103,0.006931300439894722,
feature_205,0.006808844619177191,
feature_000,0.006740609054290945,
feature_348,0.0066119120597829,
feature_445,0.006192797720042096,
feature_426,0.006090770425825505,
feature_351,0.006066309251382266,
feature_028,0.005906342789816513,
feature_287,0.005850083164169998,
feature_420,0.005828033596593387,
feature_153,0.005803215077052345,
feature_010,0.005714082290529078,
feature_197,0.005713159292239532,
feature_425,0.005647964731483782,
feature_510,0.005468115931697091,
feature_477,0.005437062994124323,
feature_033,0.005393514135055673,
feature_182,0.005345755772378762,
feature_147,0.005300535625427486,
feature_041,0.005278315044501704,
feature_115,0.005255683412176222,
feature_385,0.0052071465677590014,
feature_423,0.005149124117191016,
feature_460,0.005110537485914291,
feature_469,0.004866072447832425,
feature_160,0.00480972307384526,
feature_152,0.004524286502567099,
feature_030,0.0044266103699155245,
feature_017,0.004393445075123833,
feature_021,0.004346299774946788,
feature_489,0.004293625387350928,
feature_055,0.004246469584233451,
feature_213,0.004236598864345163,
feature_490,0.004224858027312531,
feature_443,0.004213747087540647,
feature_339,0.004154596846874127,
feature_346,0.004144336907238897,
feature_051,0.004134955431082967,
feature_031,0.004124778465283193,
feature_298,0.004090653688698587,
feature_090,0.004043601820109462,
feature_524,0.003910675859886353,
feature_040,0.0038744284876414885,
feature_434,0.0038662499297515366,
feature_428,0.003849841656257762,
feature_467,0.0037410742429135695,
feature_252,0.0037315456462531814,
feature_291,0.003709572790868793,
feature_307,0.003702945527228612,
feature_308,0.003668108085748569,
feature_024,0.003650877677916685,
feature_562,0.0036156816841636428,
feature_064,0.003556302029224789,
feature_437,0.0035286017061587427,
feature_061,0.00352753717615045,
feature_078,0.003515038362449909,
feature_553,0.0034958102808473755,
feature_016,0.003464635703939568,
feature_333,0.0034281196165891507,
feature_290,0.0033834760364510738,
feature_541,0.0033271137897806203,
feature_200,0.0033082072902890012,
feature_163,0.003295515081717215,
feature_091,0.003271204210561991,
feature_155,0.0032670548860073314,
feature_349,0.0032559161613263687,
feature_316,0.003238025257996602,
feature_144,0.003237679964844642,
feature_282,0.00322060530968411,
feature_019,0.0032196785765595598,
feature_393,0.003168190515381464,
feature_324,0.0031532646892267627,
feature_301,0.003147810038169688,
feature_136,0.003130908438792583,
feature_577,0.003099138860460601,
feature_210,0.003080470502721549,
feature_511,0.0030787638228441778,
feature_352,0.0030679203146839087,
feature_268,0.003059605916445376,
feature_300,0.0030534012352881317,
feature_187,0.0030494358041163443,
feature_343,0.003045930654954079,
feature_176,0.003038573735602886,
feature_172,0.0030296989193544714,
feature_076,0.0030217072746036217,
feature_456,0.0030100578490878283,
feature_448,0.002996979058960045,
feature_563,0.0029763443900862534,
feature_198,0.0029536600791910442,
feature_255,0.002944708168966835,
feature_452,0.0029306083175226335,
feature_096,0.0029124005803168795,
feature_175,0.0028967609678501706,
feature_082,0.0028966473992237036,
feature_159,0.002891680861341525,
feature_295,0.002874739010624781,
feature_212,0.0028086806476346534,
feature_127,0.002799079792069214,
feature_455,0.00278779607775079,
feature_487,0.0027820411229741732,
feature_251,0.0027695720119928382,
feature_354,0.0027662163280364736,
feature_549,0.0027611998565258648,
feature_054,0.002748258429932371,
feature_547,0.002739737402519552,
feature_294,0.002722054350317789,
feature_446,0.002695984949111253,
feature_479,0.0026738968627888103,
feature_015,0.0026696323142781594,
feature_084,0.0026511126494799015,
feature_459,0.0026501335628397026,
missingindicator_feature_345,0.002644568640539791,
feature_392,0.002622274983019908,
feature_075,0.0026099386873583916,
feature_441,0.0026096102421394748,
feature_211,0.002608129541713034,
feature_174,0.0026069473985165493,
feature_180,0.002604317155895201,
feature_145,0.002580361426256387,
feature_034,0.0025557118325977434,
feature_588,0.002553793417869965,
feature_525,0.0025505035934204443,
feature_391,0.002510538421427718,
feature_035,0.0024667268406443872,
feature_038,0.002465661412521146,
feature_204,0.0024656436024751696,
feature_406,0.002445400152602623,
