k_fraction,confidence,valid_replicates,fail_capture_mean,fail_capture_low,fail_capture_high,precision_mean,precision_low,precision_high
0.05,0.95,2000,0.09200361685804939,0.0,0.21883680555555507,0.109825,0.0,0.25
0.1,0.95,2000,0.20069690914829644,0.0624526515151516,0.36846978557504845,0.1198625,0.025,0.225
0.2,0.95,2000,0.3391152277054723,0.15384615384615385,0.5416666666666666,0.10282911392405063,0.0379746835443038,0.17721518987341772
