candidate,reference,metric,point,low,high,delta,delta_low,delta_high,valid
product_prior,rf,ap,0.015949633079628028,0.00031338138514572234,0.04279787590039094,-0.03357849969398209,-0.14593956058459545,-0.0005791348533741429,1839
product_prior,rf,top10_capture,0.25,0.0,0.2857142857142857,0.0,-0.7142857142857143,0.0,1839
product_prior,rf,top10_precision,0.00904977375565611,0.0,0.061224489795918366,0.0,-0.055248618784530384,0.0,2000
product_prior,rf,top10_lift,2.4988687782805434,0.0,2.8571428571428568,0.0,-7.136761002943575,0.0,1839
product_prior,product_prior,ap,0.015949633079628028,0.00031338138514572234,0.04279787590039094,0.0,0.0,0.0,1839
product_prior,product_prior,top10_capture,0.25,0.0,0.2857142857142857,0.0,0.0,0.0,1839
product_prior,product_prior,top10_precision,0.00904977375565611,0.0,0.061224489795918366,0.0,0.0,0.0,2000
product_prior,product_prior,top10_lift,2.4988687782805434,0.0,2.8571428571428568,0.0,0.0,0.0,1839
logistic,rf,ap,0.003651300775901415,0.0003155569580309246,0.03835879512185956,-0.0458768319977087,-0.15759815961838602,-0.0005765539415178529,1839
logistic,rf,top10_capture,0.0,0.0,0.0,-0.25,-1.0,0.0,1839
logistic,rf,top10_precision,0.0,0.0,0.0,-0.00904977375565611,-0.08955223880597014,0.0,2000
logistic,rf,top10_lift,0.0,0.0,0.0,-2.4988687782805434,-9.991465404121005,0.0,1839
logistic,product_prior,ap,0.003651300775901415,0.0003155569580309246,0.03835879512185956,-0.012298332303726612,-0.014654839549075403,5.662586130004873e-06,1839
logistic,product_prior,top10_capture,0.0,0.0,0.0,-0.25,-0.2857142857142857,0.0,1839
logistic,product_prior,top10_precision,0.0,0.0,0.0,-0.00904977375565611,-0.061224489795918366,0.0,2000
logistic,product_prior,top10_lift,0.0,0.0,0.0,-2.4988687782805434,-2.8571428571428568,0.0,1839
rf,rf,ap,0.049528132773610116,0.0010869565217391304,0.17800988484190688,0.0,0.0,0.0,1839
rf,rf,top10_capture,0.25,0.0,1.0,0.0,0.0,0.0,1839
rf,rf,top10_precision,0.00904977375565611,0.0,0.08955223880597014,0.0,0.0,0.0,2000
rf,rf,top10_lift,2.4988687782805434,0.0,9.991465404121005,0.0,0.0,0.0,1839
rf,product_prior,ap,0.049528132773610116,0.0010869565217391304,0.17800988484190688,0.03357849969398209,0.0005791348533741413,0.14593956058459545,1839
rf,product_prior,top10_capture,0.25,0.0,1.0,0.0,0.0,0.7142857142857143,1839
rf,product_prior,top10_precision,0.00904977375565611,0.0,0.08955223880597014,0.0,0.0,0.055248618784530384,2000
rf,product_prior,top10_lift,2.4988687782805434,0.0,9.991465404121005,0.0,0.0,7.136761002943575,1839
clipped_logistic,rf,ap,0.019555674723242482,0.0018050541516245488,0.08282978364683487,-0.029972458050367634,-0.09935389889787927,0.0007479058635819706,1839
clipped_logistic,rf,top10_capture,0.25,0.0,1.0,0.0,-0.2857142857142857,0.2857142857142857,1839
clipped_logistic,rf,top10_precision,0.00904977375565611,0.0,0.08433734939759036,0.0,-0.04477611940298507,0.037037037037037035,2000
clipped_logistic,rf,top10_lift,2.4988687782805434,0.0,9.995098039215687,0.0,-2.8058441558441554,2.838274932614555,1839
clipped_logistic,product_prior,ap,0.019555674723242482,0.0018050541516245488,0.08282978364683487,0.003606041643614454,0.0009974575766788338,0.05232147286721929,1839
clipped_logistic,product_prior,top10_capture,0.25,0.0,1.0,0.0,0.0,0.7142857142857143,1839
clipped_logistic,product_prior,top10_precision,0.00904977375565611,0.0,0.08433734939759036,0.0,0.0,0.05298013245033113,2000
clipped_logistic,product_prior,top10_lift,2.4988687782805434,0.0,9.995098039215687,0.0,0.0,7.139355742296919,1839
rf_no_product,rf,ap,0.025117234054901738,0.001201923076923077,0.10402365562238274,-0.024410898718708378,-0.08996757589724867,0.0010362461264454151,1839
rf_no_product,rf,top10_capture,0.75,0.0,1.0,0.5,0.0,0.625,1839
rf_no_product,rf,top10_precision,0.027149321266968326,0.0,0.09183673469387756,0.018099547511312215,0.0,0.04395604395604396,2000
rf_no_product,rf,top10_lift,7.496606334841629,0.0,9.991701244813278,4.997737556561086,0.0,6.23526936026936,1839
rf_no_product,product_prior,ap,0.025117234054901738,0.001201923076923077,0.10402365562238274,0.00916760097527371,0.0003114900853134969,0.0635440705103926,1839
rf_no_product,product_prior,top10_capture,0.75,0.0,1.0,0.5,0.0,0.7142857142857143,1839
rf_no_product,product_prior,top10_precision,0.027149321266968326,0.0,0.09183673469387756,0.018099547511312215,0.0,0.05882352941176471,2000
rf_no_product,product_prior,top10_lift,7.496606334841629,0.0,9.991701244813278,4.997737556561086,0.0,7.136929460580912,1839
