candidate,split,feature,mean_signed_logit,mean_absolute_logit,max_abs_transformed
logistic,fit,numeric__Injection_Time,-9.408046815757699e-18,0.2543346088399605,1.718527540215913
logistic,fit,numeric__Filling_Time,0.0,0.829337808722115,3.008215326404025
logistic,fit,numeric__Plasticizing_Time,-1.1289656178909238e-16,0.7352444144353508,2.900758988986884
logistic,fit,numeric__Cycle_Time,-1.1289656178909238e-16,0.28744555904005914,1.7765668302207347
logistic,fit,numeric__Clamp_Close_Time,3.1611037300945865e-15,1.182488701484957,1.327630734803102
logistic,fit,numeric__Cushion_Position,8.457834087366171e-15,0.25346750377286686,1.3352513123716387
logistic,fit,numeric__Switch_Over_Position,-2.3520117039394247e-18,0.008310485215159535,27.463612289719695
logistic,fit,numeric__Plasticizing_Position,5.292026333863706e-18,0.02026563454999265,1.2516355494048996
logistic,fit,numeric__Clamp_Open_Position,-9.408046815757699e-18,0.17803756159492573,1.24733217847207
logistic,fit,numeric__Max_Injection_Speed,-7.526437452606159e-17,0.5978300901081295,1.2877709578772742
logistic,fit,numeric__Max_Screw_RPM,-2.2108910017030592e-16,0.020779383008224968,3.1091964156432628
logistic,fit,numeric__Average_Screw_RPM,-2.526060570030942e-15,0.14606268557240468,2.272977511919677
logistic,fit,numeric__Max_Injection_Pressure,-5.127385514587946e-16,0.09837159661531773,11.696768865430652
logistic,fit,numeric__Max_Switch_Over_Pressure,7.526437452606159e-16,0.7942921081674783,1.9060819798138722
logistic,fit,numeric__Max_Back_Pressure,-1.5052874905212318e-16,0.35805145294215324,3.02927083179819
logistic,fit,numeric__Average_Back_Pressure,5.832989025769773e-16,0.24145701786593096,25.998131987149353
logistic,fit,numeric__Barrel_Temperature_1,-5.174425748666734e-17,0.03416512860599305,1.4797591714480525
logistic,fit,numeric__Barrel_Temperature_2,1.3171265542060778e-15,0.30047065557685076,1.5098471317315885
logistic,fit,numeric__Barrel_Temperature_3,9.97252962470316e-16,0.42369644510278076,1.4081366579416026
logistic,fit,numeric__Barrel_Temperature_4,-8.843564006812237e-16,0.31886952413641884,1.755862577149955
logistic,fit,numeric__Barrel_Temperature_5,3.612689977250956e-15,0.8001239827900342,1.5284431813174026
logistic,fit,numeric__Barrel_Temperature_6,-6.303391366557659e-16,0.3712800176133423,1.4593986419370415
logistic,fit,numeric__Hopper_Temperature,6.773793707345543e-16,0.3746095681266269,2.770155015479032
logistic,fit,numeric__Mold_Temperature_3,8.090920261551621e-16,0.7825022315539159,2.6651371238585373
logistic,fit,numeric__Mold_Temperature_4,9.03172494312739e-16,1.416314546120687,2.302622803324379
logistic,fit,product__PART_NAME_CN7 W/S SIDE MLD'G LH,-0.2095729358845112,0.2095729358845112,1.0
logistic,fit,product__PART_NAME_CN7 W/S SIDE MLD'G RH,-0.0006660901136444211,0.0006660901136444211,1.0
logistic,fit,"product__PART_NAME_RG3 MOLD'G W/SHLD, LH",-0.39838288420907336,0.39838288420907336,1.0
logistic,fit,"product__PART_NAME_RG3 MOLD'G W/SHLD, RH",0.34009092128212787,0.34009092128212787,1.0
logistic,later,numeric__Injection_Time,0.19089709321132062,0.2126180063348394,1.259172955345925
logistic,later,numeric__Filling_Time,0.6094960692702668,0.6801160111894917,1.2419944303996246
logistic,later,numeric__Plasticizing_Time,-0.48394701893593345,0.541774416805324,2.3686545989245706
logistic,later,numeric__Cycle_Time,0.20911406802962357,0.2516868177564905,3.5872099171550085
logistic,later,numeric__Clamp_Close_Time,0.7743439249277312,0.9976794201857977,5.926552421295853
logistic,later,numeric__Cushion_Position,-0.177157652774227,0.21132886525882302,3.0889019826477906
logistic,later,numeric__Switch_Over_Position,0.0041607517127936625,0.0041607517127936625,0.03641181609508743
logistic,later,numeric__Plasticizing_Position,0.01431342332019967,0.01617688131454986,1.2448110697583221
logistic,later,numeric__Clamp_Open_Position,-0.1309765460068212,0.14931227432534583,1.24733217847207
logistic,later,numeric__Max_Injection_Speed,-0.4531700197071445,0.5032448406535568,1.2408026853574403
logistic,later,numeric__Max_Screw_RPM,0.02073414090681378,0.028708304759876756,3.5070595634730704
logistic,later,numeric__Average_Screw_RPM,41.09354235229859,41.09354235229859,273.9082265312333
logistic,later,numeric__Max_Injection_Pressure,0.012702785785026219,0.12454406041865101,60.18612331218338
logistic,later,numeric__Max_Switch_Over_Pressure,0.5905451780167866,0.6445713365675303,1.1511706024976662
logistic,later,numeric__Max_Back_Pressure,-0.27511611290551624,0.31271667773716405,3.4015276093820743
logistic,later,numeric__Average_Back_Pressure,-0.2598546093985949,0.33218117808482445,44.93889318951252
