candidate,split,min,max,unique_scores,fraction_ge_half,fraction_ge_0999
product_prior,later,0.0005634318634804594,0.041479962141712866,4,0.0,0.0
logistic,later,0.9999999999495959,1.0,19,1.0,1.0
rf,later,0.0,0.6569010111219539,793,0.0009053870529651426,0.0
clipped_logistic,later,0.02808141964166438,0.9506281287676147,2209,0.08420099592575826,0.0
rf_no_product,later,0.0,0.6835137442912841,579,0.0009053870529651426,0.0
