candidate,scope,value,n,k_fraction,inspection_count,captured_fail,total_fail,fail_capture_rate,false_inspections,precision,inspection_burden,lift,ap
clipped_logistic,PART_NAME,"RG3 MOLD'G W/SHLD, LH",37,0.1,4.0,2.0,5.0,0.4,2.0,0.5,0.10810810810810811,3.6999999999999997,0.31006493506493504
clipped_logistic,PART_NAME,"RG3 MOLD'G W/SHLD, RH",37,0.1,4.0,0.0,2.0,0.0,4.0,0.0,0.10810810810810811,0.0,0.059027777777777776
rf_no_product,day,2020-10-29,454,0.1,46.0,0.0,0.0,,46.0,0.0,0.1013215859030837,,
rf_no_product,day,2020-10-30,755,0.1,76.0,0.0,0.0,,76.0,0.0,0.10066225165562914,,
rf_no_product,day,2020-11-03,926,0.1,93.0,0.0,1.0,0.0,93.0,0.0,0.10043196544276457,0.0,0.002551020408163265
rf_no_product,day,2020-11-04,71,0.1,8.0,0.0,7.0,0.0,8.0,0.0,0.11267605633802817,0.0,0.11467587034813925
rf_no_product,day,2020-11-05,2,0.1,1.0,0.0,0.0,,1.0,0.0,0.5,,
rf_no_product,day,2020-11-06,1,0.1,1.0,0.0,0.0,,1.0,0.0,1.0,,
rf_no_product,PART_NAME,CN7 W/S SIDE MLD'G LH,1066,0.1,107.0,0.0,1.0,0.0,107.0,0.0,0.10037523452157598,0.0,0.003246753246753247
rf_no_product,PART_NAME,CN7 W/S SIDE MLD'G RH,1069,0.1,107.0,0.0,0.0,,107.0,0.0,0.10009354536950421,,
rf_no_product,PART_NAME,"RG3 MOLD'G W/SHLD, LH",37,0.1,4.0,0.0,5.0,0.0,4.0,0.0,0.10810810810810811,0.0,0.1307740037544253
rf_no_product,PART_NAME,"RG3 MOLD'G W/SHLD, RH",37,0.1,4.0,0.0,2.0,0.0,4.0,0.0,0.10810810810810811,0.0,0.19090909090909092
