feature,train_min,train_max,later_outside_training_fraction
Injection_Time,1.0499999523162842,13.390000343322754,0.0
Filling_Time,0.9300000071525574,8.270000457763672,0.0
Plasticizing_Time,12.800000190734863,21.100000381469727,0.0
Cycle_Time,58.959999084472656,62.36000061035156,0.009053870529651425
Clamp_Close_Time,6.789999961853027,7.179999828338623,0.008148483476686284
Cushion_Position,653.3900146484375,654.2899780273438,0.008148483476686284
Switch_Over_Position,0.0,655.3099975585938,0.0
Plasticizing_Position,53.54999923706055,68.86000061035156,0.0
Clamp_Open_Position,4.630000114440918,647.989990234375,0.0
Max_Injection_Speed,38.5,128.5,0.0
Max_Screw_RPM,30.399999618530277,31.200000762939453,0.002716161158895428
Average_Screw_RPM,290.3999938964844,293.8999938964844,1.0
Max_Injection_Pressure,140.6999969482422,147.39999389648438,0.008148483476686284
Max_Switch_Over_Pressure,109.6999969482422,146.6999969482422,0.0
Max_Back_Pressure,36.29999923706055,71.9000015258789,0.009053870529651425
Average_Back_Pressure,57.70000076293945,87.0999984741211,0.009053870529651425
Barrel_Temperature_1,274.79998779296875,287.1000061035156,0.008148483476686284
Barrel_Temperature_2,274.20001220703125,286.5,0.009959257582616569
Barrel_Temperature_3,274.1000061035156,285.79998779296875,0.008148483476686284
Barrel_Temperature_4,268.79998779296875,276.79998779296875,0.009053870529651425
Barrel_Temperature_5,253.5,266.3999938964844,0.008148483476686284
Barrel_Temperature_6,229.3000030517578,235.5,0.010864644635581712
Barrel_Temperature_7,0.0,0.0,0.0
Hopper_Temperature,62.59999847412109,70.5999984741211,0.009053870529651425
Mold_Temperature_1,0.0,0.0,0.0
Mold_Temperature_2,0.0,0.0,0.0
Mold_Temperature_3,19.600000381469727,25.299999237060547,0.0022634676324128564
Mold_Temperature_4,21.0,27.799999237060547,0.03078315980081485
Mold_Temperature_5,0.0,0.0,0.0
Mold_Temperature_6,0.0,0.0,0.0
Mold_Temperature_7,0.0,0.0,0.0
Mold_Temperature_8,0.0,0.0,0.0
Mold_Temperature_9,0.0,0.0,0.0
Mold_Temperature_10,0.0,0.0,0.0
Mold_Temperature_11,0.0,0.0,0.0
Mold_Temperature_12,0.0,0.0,0.0
