candidate,policy,threshold,pr_auc_average_precision,fail_recall,precision,f1,balanced_accuracy,false_alarm_rate,accuracy,tn,fp,fn,tp
product_prior,fixed_0.5,0.5,0.015949633079628028,0.0,0.0,0.0,0.5,0.0,0.9963784517881394,2201,0,8,0
product_prior,oof_10pct_cap,0.04248777753876727,0.015949633079628028,0.0,0.0,0.0,0.5,0.0,0.9963784517881394,2201,0,8,0
logistic,fixed_0.5,0.5,0.003651300775901415,1.0,0.0036215482118605704,0.007216959855660803,0.5,1.0,0.0036215482118605704,0,2201,0,8
logistic,oof_10pct_cap,0.8556284641050905,0.003651300775901415,1.0,0.0036215482118605704,0.007216959855660803,0.5,1.0,0.0036215482118605704,0,2201,0,8
rf,fixed_0.5,0.5,0.049528132773610116,0.0,0.0,0.0,0.4995456610631531,0.0009086778736937755,0.9954730647351743,2199,2,8,0
rf,oof_10pct_cap,0.07864694609612656,0.049528132773610116,0.875,0.015151515151515152,0.029787234042553193,0.834137891867333,0.20672421626533394,0.7935717519239475,1746,455,1,7
clipped_logistic,fixed_0.5,0.5,0.019555674723242482,0.25,0.010752688172043012,0.020618556701030927,0.5832008178100863,0.08359836437982734,0.9139882299683114,2017,184,6,2
clipped_logistic,oof_10pct_cap,0.8631222640930407,0.019555674723242482,0.25,0.05263157894736842,0.08695652173913043,0.616821899136756,0.01635620172648796,0.980986871887732,2165,36,6,2
rf_no_product,fixed_0.5,0.5,0.025117234054901738,0.0,0.0,0.0,0.4995456610631531,0.0009086778736937755,0.9954730647351743,2199,2,8,0
rf_no_product,oof_10pct_cap,0.08665797162822352,0.025117234054901738,0.875,0.028225806451612902,0.0546875,0.88275215810995,0.10949568378009995,0.8904481665912177,1960,241,1,7
